timestamp,price,sma,vol,signal
1779113400000,76805.50000000,76753.24000000,46.72843246,Buy
1779113460000,76747.50000000,76748.74000000,45.97506281,Hold
1779113520000,76736.60000000,76760.34000000,32.01091064,Hold
1779113580000,76618.90000000,76739.72000000,65.62451981,Sell
1779113640000,76634.50000000,76708.60000000,71.02636130,Sell
1779113700000,76731.50000000,76693.80000000,55.25091854,Hold
1779113760000,76696.10000000,76683.52000000,48.69605323,Hold
1779113820000,76369.00000000,76610.00000000,127.22886465,Sell
1779113880000,76453.00000000,76576.82000000,141.42216799,Hold
1779113940000,76541.20000000,76558.16000000,138.70974876,Hold
1779114000000,76641.70000000,76540.20000000,119.60045150,Hold
1779114060000,76618.80000000,76524.74000000,102.17576229,Hold
1779114120000,76649.00000000,76580.74000000,74.43793656,Hold
1779114180000,76620.80000000,76614.30000000,38.36915428,Hold
1779114240000,76660.00000000,76638.06000000,16.01968789,Buy
1779114300000,76676.10000000,76644.94000000,22.27227873,Buy
1779114360000,76713.60000000,76663.90000000,30.70426680,Buy
1779114420000,76715.20000000,76677.14000000,35.34671696,Buy
1779114480000,76688.60000000,76690.70000000,21.37624850,Hold
1779114540000,76572.70000000,76673.24000000,52.42513138,Sell
1779114600000,76553.00000000,76648.62000000,70.93761767,Sell
1779114660000,76482.00000000,76602.30000000,87.14681865,Sell
1779114720000,76410.00000000,76541.26000000,93.35556973,Sell
1779114780000,76371.70000000,76477.88000000,78.14436384,Sell
1779114840000,76293.60000000,76422.06000000,89.35505805,Sell
1779114900000,76249.20000000,76361.30000000,82.70192259,Sell
1779114960000,76216.50000000,76308.20000000,72.79909340,Sell
1779115020000,76347.70000000,76295.74000000,58.17094120,Hold
1779115080000,76404.70000000,76302.34000000,67.53347614,Buy
1779115140000,76444.30000000,76332.48000000,87.56484226,Buy
1779115200000,76392.60000000,76361.16000000,78.61825742,Hold
1779115260000,76430.50000000,76403.96000000,33.54540803,Hold
1779115320000,76454.10000000,76425.24000000,23.28566941,Buy
1779115380000,76460.50000000,76436.40000000,24.12368131,Hold
1779115440000,76401.40000000,76427.82000000,27.21862598,Hold
1779115500000,76324.10000000,76414.12000000,49.56451957,Sell
1779115560000,76316.00000000,76391.22000000,61.67720487,Sell
1779115620000,76321.10000000,76364.62000000,57.35068962,Hold
1779115680000,76332.50000000,76339.02000000,31.64625728,Hold
1779115740000,76320.30000000,76322.80000000,5.49836339,Hold
1779115800000,76348.20000000,76327.62000000,11.64875959,Buy
1779115860000,76374.00000000,76339.22000000,20.10844599,Buy
1779115920000,76375.10000000,76350.02000000,21.89789031,Buy
1779115980000,76348.70000000,76353.26000000,20.19847519,Hold
1779116040000,76285.30000000,76346.26000000,32.64074754,Sell
1779116100000,76330.40000000,76342.70000000,33.20090360,Hold
1779116160000,76366.70000000,76341.24000000,31.92852017,Hold
1779116220000,76347.10000000,76335.64000000,27.67017167,Hold
1779116280000,76245.00000000,76314.90000000,44.09648512,Sell
1779116340000,76325.30000000,76322.90000000,41.55598633,Hold
1779116400000,76326.00000000,76322.02000000,41.43425636,Hold
1779116460000,76223.10000000,76293.30000000,49.49476740,Sell
1779116520000,76166.80000000,76257.24000000,61.40822746,Sell
1779116580000,76059.80000000,76220.20000000,100.82438197,Sell
1779116640000,76155.20000000,76186.18000000,87.42993538,Hold
1779116700000,76025.10000000,76126.00000000,72.81337789,Sell
1779116760000,76126.90000000,76106.76000000,55.19139788,Hold
1779116820000,76124.10000000,76098.22000000,48.08672998,Hold
1779116880000,76209.10000000,76128.08000000,59.86960498,Buy
1779116940000,76109.80000000,76119.00000000,58.49492286,Hold
1779117000000,76163.40000000,76146.66000000,35.88050167,Hold
1779117060000,76221.90000000,76165.66000000,44.50315045,Buy
1779117120000,76249.80000000,76190.80000000,49.18304586,Buy
1779117180000,76227.50000000,76194.48000000,51.06691297,Hold
1779117240000,76205.40000000,76213.60000000,28.84378616,Hold
1779117300000,76201.40000000,76221.20000000,17.31946881,Sell
1779117360000,76164.20000000,76209.66000000,28.57436613,Sell
1779117420000,76148.10000000,76189.32000000,28.95620141,Sell
1779117480000,76047.10000000,76153.24000000,57.36251738,Sell
1779117540000,76040.60000000,76120.28000000,64.78825202,Sell
1779117600000,76063.80000000,76092.76000000,52.55544120,Hold
1779117660000,76082.00000000,76076.32000000,38.65516266,Hold
1779117720000,76046.90000000,76056.08000000,15.07307533,Hold
1779117780000,76018.80000000,76050.42000000,21.37740864,Sell
1779117840000,76098.30000000,76061.96000000,27.62307731,Buy
1779117900000,76129.00000000,76075.00000000,38.61590346,Buy
1779117960000,76185.60000000,76095.72000000,59.14847082,Buy
1779118020000,76007.80000000,76087.90000000,67.13192981,Sell
1779118080000,76060.10000000,76096.16000000,60.31645215,Hold
1779118140000,76020.00000000,76080.50000000,67.46845189,Hold
